,question_en,answer_en,chapter_no,verse_list
782,"What is the meaning of 'qitmīr' in the verse: 'And He causes the night to enter the day and causes the day to enter the night, and has subjected the sun and the moon, each running [its course] for a specified term. That is Allah, your Lord; to Him belongs the kingdom. And those whom you invoke besides Him do not possess [as much as] the skin covering of a date seed. '?",The thin white shell is on the core.,35,[13]
783,Explain the meaning of the following verses from Surah Fāṭir : 18-23.,"No soul shall bear the burden of another. Even if a burdened soul asks another, even a close relative, to bear its sins, it will not be able to. You, O Prophet, only warn those who fear the punishment of their Lord. Perform the prayer correctly. Purity from sin is for one's own self. All will return to Allah, and He will reward each according to their deeds. The blind in faith is not equal to the one who sees the truth and follows it. Darkness of disbelief is not equal to the light of faith. The hearts of the believers are alive, while the hearts of the disbelievers are dead. Allah hears whoever He wills, but you, O Prophet, are not the one to hear the dead in their graves. Similarly, you cannot hear these disbelievers due to the deadness of their hearts. You are only a warner of Allah's anger and punishment.",35,[18 19 20 21 22 23]
784,"Have you not considered that Allah has sent down water from the sky and We brought forth thereby various kinds of fruits, differing in color, and from the mountains, white and red ones, differing in color, and black ones? And among people, beasts, and livestock, there are various colors. Thus, only the learned among His servants fear Allah. Indeed, Allah is Mighty and Forgiving.","Have you not seen that Allah sends down rain from the sky, and We bring forth thereby every kind of fruit? And We bring forth from it green pastures, and from it We bring forth different kinds of grains. And We have created from mountains, peaks towering above them, and have made some of them a rugged red. And We have created different kinds of people, livestock, camels, cattle, and sheep; some of them are of a red color, some white, and some of other colors. But those who know fear Allah and avoid His disobedience, for He is exalted in might, most merciful. He rewards those who do good and forgives them. Indeed, Allah is not to be defeated.",35,[27 28]
785,"Then We gave the Book for inheritance to those whom We chose from Our servants. Among them are those who wrong their own souls, and among them are those who are moderate, and among them are those who are foremost in good deeds, by the permission of Allah. That is the great bounty.  - Interpret this verse.","Then, after the destruction of the nations, we gave the Quran to those whom we chose from the nation of Muhammad . Among them is one who wrongs himself by committing some sins, and among them is one who is moderate, fulfilling obligations and avoiding prohibitions. And among them is one who is foremost in good deeds, being eager and diligent in both obligatory and voluntary acts of righteousness, by the will of Allah.",35,[32]
786,What is Dar al-Maqama?,"We have been given the abode of settlement by His grace, where no fatigue or weariness will touch us.",35,[35]
787,"If Allah were to punish people for their wrongdoings, He would not leave a single creature upon the earth. But He gives them respite to a specified time. When their appointed time comes, Allah is indeed fully aware of His servants.","If Allah were to punish people for their sins and transgressions, He would not leave a single creature on earth that He would not hold accountable. However, He delays and postpones their punishment to a specified time, and when their time for punishment comes, Allah is ever watchful over His servants, nothing escapes His sight, and He will reward them for their deeds, whether good or bad.",35,[45]
788,"To interpret the verse: 'And thus do We send you [O Muhammad] among a nation before whom the nations [of old] have passed away, so that you may recite to them what We have revealed to you.'","We have sent it down to you, O Messenger, to warn thereby the people to whom no warner has come before you, and that is the Arabs. These people are heedless of faith and steadfastness in good deeds. Every nation to which warning is not given will fall into heedlessness, and this is a proof of the obligation of calling to Allah and His religion, and reminding the learned of Allah and His law; to awaken the Muslims from their heedlessness.",36,[6]
789,What is the meaning of 'فَهُم مُّقْمَحُونَ' in verse 8 of Surah Yasin?,"They raise their heads and cannot lower them, this is a representation, and it means that they do not submit to faith and do not lower their heads for it.",36,[8]
790,What is the story of the people of the village?,Strike for them the example of the people of the town when the messengers came to them.,36,[13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29]
791,"Explain the meaning of these verses: 'And a sign for them is the night, We strip it of the day, and they are in darkness. And the sun runs in its course for a term determined for it. That is the decree of the Exalted in Might, the Knowing. And the moon - We have determined for it stages until it returns like an old shrivelled palm branch. It is not for the sun to overtake the moon, nor does the night outstrip the day. They all float, each in an orbit.'","A sign for them of the unity of God and the perfection of His power is that He takes the night away and brings in the day. Thus, people are able to see. And a sign for them is the sun, running in its course, not to be hastened or delayed. That is the mighty God's measure, who cannot be overcome, the All-Knowing to whom nothing is hidden. And the moon is a sign of His creation, We have appointed for it phases, until it becomes like an old date-palm branch. Then again, it becomes like a scattered dust.",36,[37 38 39 40]
793,What is the meaning of the noble verse: 'Peace be upon you from a Merciful Lord' ?,"The greatest bliss for the people of Paradise is when their Lord, the Most Merciful, speaks to them, saying 'Peace be upon you.' At that time, they will attain perfect peace from all sides.",36,[58]
794,"What does 'nunakkisuhu fi al-khalqi' mean in the verse 'And whoever We will, We cause him to decrease within the creation. Do they not understand?'",Return him to the state of mental and physical weakness from which he started.,36,[68]
795,"And the ranks  row upon row,  who drive  and  who arrange ,  who establish . From whom did Allah swear  in the Quran?","The angels are in rows, perfectly lined up in their worship, they drive away clouds and direct them at Allah's command, and they recite the mention of Allah and His words.",37,[1 2 3]
796,Can the devils reach the Highest Heaven to listen to the speech of the angels?,"God has adorned the lower heaven with the adornment of stars, and has protected it from every rebellious devil, cast down. The devils cannot reach the upper heaven, nor the angels therein, to listen to them when they speak of what God reveals of His laws and decrees, and they are driven away from listening by meteors from every side; a repulsion for them, and for them is an everlasting, painful punishment. Except for one who snatches a word, which he hears from the heaven quickly, and throws it down to whoever is beneath him, and another throws it down to whoever is beneath him, so perhaps a bright meteor may reach him before he throws it, and perhaps he throws it by the decree of God before the meteor reaches him, so it burns him and the other takes it to the soothsayers, and they lie with it a hundred lies. We have adorned the lower heaven with the adornment of stars, and as a protection from every rebellious devil, they do not listen to the assembly of the Most High, and they are driven away from every side, a repulsion for them, and for them is an everlasting punishment. Except for one who snatches a word, then a piercing meteor follows him. The Saaffat.",37,[ 6  7  8  9 10]
797,What is the meaning of 'zajratun wahidatun' in the verse 'Fainnamā hiya zajratun wahidatun fa'itha hum yanzurūna' from Surat Al-Saffat ?,One breath.,37,[19]
798,"And stop them, for they will indeed be questioned.  Surah Saaffat. Interpret the noble verse.","Seize the disbelievers before they reach Hell; they are responsible for their deeds and words in this world, and will be held accountable for their denial and mocked.",37,[24]
799,What is the interpretation of the verse: 'And they will be given to drink a cup mixed with ginger' ?,"He provides them with cups of wine in their gatherings, which never runs out, and they have no fear of it being depleted.",37,[45]
800,"There is no compulsion in it , nor are they  being forced . Explain the verse from Surat Al-Saffat.","There is nothing in it that kills their intellects, nor are they intoxicated except by worldly wine.",37,[47]
801,"And with them are chaste women, restraining their glances, with large, [beautiful] eyes, like preserved pearls: The Saffat, Explain the noble verse.","Among them in their gatherings are chaste women, who do not look at other than their husbands, as if they were hidden pearls that no hands have touched.",37,[48 49]
803,What is the tree of Zaqqum?,Is this not better than the tree of Zaqqum? We have made it a trial for the wrongdoers.,37,[62 63 64 65 66 67]
804,What is the meaning of 'And We left upon him among the later ones'  in Surah Saaffat?,And We have made for him a beautiful remembrance and a good mention among those who will come after him.,37,[78 79]
805,What is the story of Prophet Ibrahim's  dream with his son Ismail ?,"When Ismail grew up and walked with his father, his father said to him, 'I have seen in a dream that I am sacrificing you. What is your opinion?' Ismail replied, 'I am content, O Lord, and I will obey my father. Do what you have been commanded.' When they both submitted to Allah's command, Ibrahim laid Ismail down on the ground to sacrifice him. Allah called out to Ibrahim, 'You have fulfilled the command and proven your dream to be true. We reward those who do good like you, and we will save them from hardships in this world and the next. The command to sacrifice your son was a severe test that revealed the sincerity of your faith. We saved Ismail and provided a great ram as a substitute. Peace be upon Ibrahim from Allah, and may He protect him from all evil. We reward those who obey us and follow our commands, just as we rewarded Ibrahim.'",37,[102 103 104 105 106 107 108 109 110]
806,What is the story of Yunus ?,"And indeed, Jonah was one of the messengers. When he fled to a crowded ship, he was thrown into the sea and swallowed by a whale. But if it were not for his constant praise of Allah, he would have remained in the whale's belly until the Day of Resurrection. We threw him onto the shore, weak and exhausted, and caused a gourd tree to grow over him for shade. Then we sent him to a people of a hundred thousand or more, and they believed in him, so we granted them respite until their appointed time.",37,[139 140 141 142 143 144 145 146 147 148]
807,"What is the meaning of  in the verse: 'And they have made between him and the jinnah a connection, and indeed the jinnah knows that they are certainly to be gathered .'",The angels.,37,[158]
808,"But those who disbelieved are in arrogance and defiance. How many generations have We destroyed before them? They called out, but there was no escape. Explain these verses.","God, the Exalted, swears by the Quran, which contains reminders to people of what they have forgotten. However, the disbelievers are arrogant and refuse to accept the truth. Many nations before these pagans were destroyed, and when the punishment came, they sought help and called for repentance, but it was not a time for accepting repentance, nor was there time to escape and be saved from what had befallen them.",38,[2 3]
809,"What does 'qit'nā' mean in the verse 'And they will say, 'Our Lord, hasten for us our share before the Day of Reckoning' ?",Our share of torment is in this world before the Day of Judgment.,38,[16]
810,"Recite the virtue of Allah upon His servant, David .","God, the Exalted, has favored His servant David, peace be upon him, by making the mountains glorify Him with him at the beginning and end of the day. He also made the birds glorify Him in groups, obeying him. God, the Exalted, strengthened his kingdom with awe, power, and victory. He also granted him prophethood, wisdom in speech, and the ability to make just decisions. Endure what they say and remember our servant David, the one with the strong hand, for he is the one who turns back to God. We made the mountains glorify Him with him at the beginning and end of the day, and the birds in groups, all turning back to him. We strengthened his kingdom and granted him wisdom and the ability to speak clearly.",38,[17 18 19 20]
811,What is the story of the enemies who besieged the sanctuary of Dawud  peace be upon him?,"And has the story of the two disputants who came to David reached you, O Messenger? He was alarmed at their entry upon him. They said, 'Do not fear, for we are two adversaries, one has wronged the other, so judge between us with justice and do not incline towards the wrongdoer. Guide us to the right path.' One of them said, 'This man has ninety-nine sheep, while I have only one. He said,",38,[21 22 23 24 25 26]
812,What is the story of Solomon  with the pure horses?,"We gave David his son Solomon, and We bestowed upon him wisdom and understanding. Indeed, Solomon was one of the frequently returning [to Allah]. Remember when the evening horses were presented to him: they stood on three legs and raised the fourth, in pride and defiance. They were presented to him until the sun had set. He said, 'Return them to me,' and he began to stroke their necks and foreheads. He killed them all because they had caused him to miss the prayer.",38,[30 31 32 33]
813,How was Allah's trial of Solomon ?,"We tested Solomon and placed upon his throne a body. A son was born to him when he vowed to visit his wives, each accompanied by a horseman fighting in the path of Allah. However, he did not say 'Insha'Allah' , so he visited them all, but only one woman conceived from him, and then Solomon returned to his Lord and repented.",38,[34]
814,Recite the virtue of Allah upon His servant Solomon .,"God, the Exalted, has favored His servant Solomon : He has subdued the wind for Solomon , which flows at his command, gentle and powerful, wherever he wills. God, the Exalted, has also subjected to him the jinn, who work for him, including those who build and dive, and they are bound with chains. And for Solomon, with God, the Exalted, in the Hereafter, there is indeed a nearness and a good return.",38,[36 37 38 39 40]
815,What is the story of Job ?,"And remember, O Messenger, our servant Job, when he called upon his Lord, saying, 'The devil has afflicted me with hardship and pain.' We said, 'Strike the ground with your foot; there will gush forth from it a spring of water, cool and refreshing to drink and bathe in, and your affliction will be removed.' So we removed his affliction and bestowed upon him his family and many more like them as a mercy from Us and a reminder for those of understanding. We said, 'Take in your hand a bundle of twigs and strike your wife with it gently, without being excessive, for We have given you a hundred lashes as a sign of Our mercy.' We found Job steadfast in adversity, a truly devoted servant, ever turning back to the obedience of God.",38,[41 42 43 44]
816,What is the meaning of:  and  in the verse: ?,"Those with strong resolve and clear insight  are the ones who have been chosen by us as a special reminder of the Hereafter, causing them to act in obedience to us, invite others to it, and remind people of it.",38,[45 46]
817,"And with them are those who restrain  glances, pure ones. Explain this verse.","Among them are women who are virgins, their eyes cast down, preserving their modesty, and they are not lascivious, but they only give themselves to their husbands, or their fathers have no right of possession to them, and they are not guilty of any sin if they believe in Allah and the Last Day, and they make good wives, and they remain chaste, except for what their husbands allow them, for Allah is All-Seeing of what they do.",38,[52]
818,Please explain the meaning of these verses: 'This is for them to taste: scalding water and cold water  and another of the same kind is mixed .',"This torment is boiling water and pus-like liquid from the bodies of the people of Hell, let them drink it, and they will have another torment of the same kind, with various types and colors.",38,[57 58]
819,What is the dispute and conflict that occurs between the people of the Fire ?,"When the transgressors are thrown into the Fire, they will curse each other, saying, 'This is a group that will be with you in the Fire,' and they will reply, 'Neither welcome nor spacious are your dwellings in the Fire; you suffer the same as we do.' The followers will say to the transgressors, 'Rather, you are not welcome; you led us astray in the world, so that we would dwell in the Fire.' The followers will say, 'Our Lord, whoever misguided us in the world, increase his punishment in the Fire.' The transgressors will say, 'Why don't we see among those in the Fire the men we used to consider the worst of sinners? Did we mock them and make fun of them, or are they with us in the Fire, but our eyes cannot see them? That is indeed the argument of the people of the Fire and their dispute is true.'",38,[59 60 61 62 63 64]
820,What is the noble verse talking about?,About the Holy Quran.,38,[67 68]
821,"He created you from a single soul, then from it He created its mate, and He provided you with eight pairs of livestock. He creates you in your mothers' wombs, one creation after another, in three veils of darkness. That is Allah, your Lord; to Him belongs the kingdom. There is no deity except Him. How then are you turned away?","Your Lord has created you, O people, from Adam, and created his mate from him, and created for you eight kinds of livestock: male and female cattle, sheep, and goats. He creates you in the wombs of your mothers, stage by stage, in darkness and light. That is Allah, who created these things. Your Lord is One, the Unique, the All-Holy. How can you worship anything else besides Him?",39,[6]
822,"God has sent down the best of speech, a consistent Book, wherein is repetition. The skins of those who fear their Lord shiver from it, then their skins and their hearts soften at the remembrance of God. That is the guidance of God; He guides thereby whom He wills, and whomever God misguides, then none can guide him.  Interpret this verse.","Allah, the Exalted, is He who has revealed the best of speech, which is the Quran, the Grand, similar in its excellence, perfection, and lack of contradiction, adorned with stories, rulings, proofs, and evidences, causing the skin to tremble upon hearing it, and stirring the hearts of those who fear their Lord, with both fear and hope, then soothing their hearts, with promises and glad tidings. This reaction to the Quran is guidance from Allah for His servants. And Allah guides through the Quran whomever He wills of His servants. And whoever Allah misguides, there will be no guide for him, nor will He make him rightly guided.",39,[23]
823,"Allah has presented an example of two men: one with many disputing partners and another who is a slave to a single man. Are they equal in comparison? All praise is due to Allah, but most of them do not know. .","Allah has presented an example of two slaves, one belonging to partners in conflict and another to a single owner. The first is in despair to please them, while the second is at ease by knowing his master's will and what pleases him. Are they equal in example? No, they are not. Similarly, the polytheist is in confusion and doubt, while the believer is at ease and reassured. All praise is due to Allah alone, but the polytheists do not know the truth, so they do not follow it.",39,[29]
824,Who is the one who brought the truth and who is the one who believed in it?,"The one who brought the truth is the Prophet Muhammad , and the believers are those who believed in him.",39,[33]
825,"How does Allah take the souls at the time of death and those that have not died in their sleep? He retains the one for whom He has decreed death, and He sends the other back to a specified term. Surely, in this there are signs for a people who reflect. .","God, the Exalted, is the One who takes the souls at the time of death, and this is the greatest death, which is death at the end of one's lifespan. He also takes the souls of those who are sleeping, which is the lesser death, and He retains the soul of the deceased, while returning the soul of the sleeper to its body to complete its lifespan and provision. This is a clear sign of God's power for those who reflect and ponder.",39,[42]
826,What does the human soul say when it is struck by the punishment on the Day of Judgment?,"On the Day of Judgment, a person's soul may say: 'Oh, my regret for what I have wasted in disregarding Allah's commands and falling short in obedience to Him, and for being among those who mock His commands and His book and His messenger and the believers in Him.' Or it may say: 'If only Allah had guided me to His path, I would have been among those who are righteous and avoid sin.' Or, upon seeing Allah's punishment, it may say: 'I wish I could return to life in the world so that I may be among those who do good by obeying their Lord and following the commands of the messengers.'",39,[56 57 58]
827,What is the meaning of: 'And to Him belong the keys of the heavens and the earth' ?,"He holds the keys to His treasures, including rain and vegetation, and grants them however He wills.",39,[62 63]
828,Explain the meaning of these verses from Surah Az-Zumar.,"The Horn will be blown, and all those in the heavens and the earth will die, except those whom Allah wills to spare. Then a second blast will be sounded, and behold, they will stand up, looking around to see what they are being judged for. The earth will shine with the light of its Lord, and the record of each person's deeds will be laid open. The prophets and witnesses will be brought forth, and Allah will ask the prophets about their conveyance of the message and the response of their people. The nation of Muhammad  will also be brought forth to testify to the conveyance of the message to previous nations if they deny it. The judgment will be established against the nations, and the Lord of the worlds will judge between His servants with absolute justice, without any injustice. Every soul will be recompensed for its deeds, good or bad, and Allah is the Most Knowing of what they do in this world, whether in obedience or disobedience. Those who disbelieved in Allah and His messengers will be driven to Hell in groups, and when they reach it, the gates will be opened for them, and they will be thrown into it. They will be told, 'How have you disbelieved in Allah and denied that He is the only true God?' They will admit their sin, but Allah's decree will stand that the punishment of disbelief is for those who disbelieve. The disbelievers will be told that Allah is the true God, as a humiliation and a disgrace for them, and they will be thrown into Hell to abide therein forever. Those who feared their Lord with true faith and righteous deeds will be driven to Paradise in groups, and when they reach it, its gates will be opened for them, and the angels will welcome them and greet them with peace. They will be told, 'Peace be upon you for what you patiently endured. Excellent is your final destination - the home of those who have been righteous.' The believers will say, 'Praise be to Allah who fulfilled His promise to us and made us inherit the earth. We will settle in the Garden wherever we wish.' You will see the angels surrounding the Throne, glorifying their Lord with praise. The judgment will be established with truth and justice, and the people of faith will be made to dwell in Paradise, while the disbelievers will be made to dwell in the Fire. It will be said, 'Praise be to Allah, the Lord of the worlds, for what He has fulfilled of His promise. All praise is due to Him for His favor and mercy, and all praise is due to Him for His justice and wisdom.'",39,[68 69 70 71 72 73 74 75]
829,What is the meaning of 'dhī al-tāwīl' in the phrase 'ghāfirid-dhambi waqābilit-tawbī shadīdil-'iqābī dhī al-tāwīl'?,The Lord of the Bountiful Grace,40,[3]
830,Who is it that calls out to the disbelievers?,He calls them the treasurers of Hell.,40,[10]
831,"They said, 'Our Lord, You have caused us to die twice and given us life twice, so we have confessed our sins. Is there any way out of this path?'  - Please explain the meaning of this verse.","The disbelievers said: 'Our Lord, You have caused us to die twice: once when we were in our mothers' wombs, and again when our appointed time in this worldly life had passed, and You have given us life twice: once when we were born, and again when we were resurrected from our graves. Now we acknowledge our past sins, so is there a way for us to get out of the Fire and return to the worldly life so that we may act in obedience to You?' But no, this acknowledgment will not benefit them.",40,[11]
832,"And warn them of the approaching day when hearts will be at the throats, choked with terror. The wrongdoers will have no loyal friend nor intercessor who will be obeyed. Explain this verse.","Warn, O Messenger, the people of the approaching Day of Judgment, for though they may disbelieve, the hearts of the servants have risen in their throats due to the fear of Allah's punishment, and they are filled with grief and sorrow. There is no helper or intercessor for the wrongdoers, and none shall be accepted on their behalf by their Lord.",40,[18]
833,What is the meaning of 'khā'inata al-'a'yūni'?,The eyes steal glances with their cunning gaze towards the forbidden.,40,[19]
834,What did the believing man among Pharaoh's people advise his people?,"A believing man from Pharaoh's household, who concealed his faith, said to his people, 'How can you kill a man who says, 'My Lord is Allah,' and has come to you with clear proofs from your Lord? If Moses is a liar, the consequence of his lie will be on him alone, but if he is truthful, then some of what he threatens you with will befall you. Allah does not guide one who is extravagant and a liar. O my people, you have power today in the land of Egypt, so who will save us from Allah's punishment if it comes upon us?'",40,[28 29 30 31 32 33 34 38 39 40 41 42 43 44]
835,What is the evidence for the punishment of the people of Pharaoh in the grave?,"God, the Exalted, has saved that believing man from the cunning plots of Pharaoh and his people, and has afflicted them with severe torment, drowning them all. They were drowned first and perished, and now they are punished in their graves with fire, being exposed to it morning and evening until the Day of Judgment. On the Day of Resurrection, it will be said, 'Enter, O family of Pharaoh, the Fire; this is the reward for what your hands have earned.' This verse is a proof for the punishment of the grave.",40,[45 46]
836,"What is the conversation that takes place between the tormented in Hell and the keeper of Hell? And those in the Fire will say to the keeper of Hell, 'Invoke your Lord to lighten for us a day from the punishment.' They will say, 'Did there not come to you messengers from among yourselves, reciting to you the verses of your Lord and warning you of the meeting of this Day?' They will say, 'Yes, but the decree of punishment was justly deserved.'","Those in Hellfire, the arrogant and the weak, said to the keeper of Hell: 'Invoke your Lord to lighten for us one day of the torment; perhaps we may have some respite.' The keeper of Hell replied, rebuking them: 'This invocation will not benefit you at all. Did not your messengers come to you with clear proofs from your Lord, but you rejected them?' The disbelievers admitted this, and the keeper of Hell disowned them, saying: 'We do not invoke for you, nor do we intercede for you. Invoke for yourselves, but this invocation will not avail you; for you are disbelievers.' And the invocation of the disbelievers is only in vain, not accepted nor responded to.",40,[49 50]
837,"Did Allah, the Exalted, narrate the stories of all the prophets to His Messenger Muhammad, peace be upon him?","No. And indeed, We sent before you messengers among them those whom We have related to you and those whom We have not related to you, and it was not for any messenger to bring a sign except by the permission of Allah. And when the command of Allah comes, the truth will be decided, and the falsifiers will perish.",40,[78]
839,"A Book, the verses of which are made distinct, an Arabic Qur'an for a people who know. A bringer of good tidings and a warner, but most of them turn away, so they do not hear.","Explain the noble verses. 'A book whose verses are complete in explanation, and whose meanings and rulings are clear, a Quran in Arabic, easy to understand for people who know the Arabic language. A bearer of immediate and final reward for those who believe in it and act according to it, and a warner of immediate and final punishment for those who disbelieve in it, yet most people turn away from it, for they do not hear it with understanding and acceptance.'",41,[3 4]
840,Recite the verses of the creation of Allah's heavens and earth in days and explain them.,"Say , 'Do you disbelieve in the One Who created the earth in two days? And you set up equals to Him, while that is the Lord of the worlds? He placed therein firm mountains from above it and blessed it and determined therein its sustenance in four days, equal for all seekers. Then He directed Himself to the heaven while it was smoke, and said to it and to the earth, 'Come, willingly or unwillingly.' They both said, 'We have come in obedience, willing.' And He completed them as seven heavens in two days, and inspired in each heaven its command. And He adorned the lowest heaven with lamps and as protection. That is the determination of the Exalted in Might, the Knowing.'",41,[ 9 10 11 12]
841,"And on the day when the enemies of Allah will be gathered to the Fire, they will be divided.  What is the meaning of 'they will be divided'?",They are being led.,41,[19]
842,Do human organs speak and testify on the Day of Judgment? What is the evidence?,"And when they come to it, their ears and their eyes and their skins will testify against them concerning what they used to do.",41,[20 21]
843,"When death comes to a believer, does he feel that he will enter Paradise? What is the evidence?","Indeed, those who say, 'Our Lord is Allah,' and then remain steadfast, the angels descend upon them, saying, 'Fear not, nor grieve! And receive the good tidings of Paradise which you were promised. We are your allies in this life and in the Hereafter, and you shall have therein whatever your souls desire, and you shall have therein whatever you request.'",41,[30 31]
844,"What is the verse that encourages calling people to Allah , and highlights the virtue of scholars who call to Him with insight, according to what has been narrated from the Messenger of Allah, Muhammad ?","And who is better in speech than one who calls [people] to Allah and does righteousness and says, 'Indeed, I am of the Muslims.'",41,[33]
845,"Explain this verse: 'Good and evil are not the same. Repel evil with what is better. Then, the one between you and him will be like an enemy who is intimate.  And none are able to do this except those who are patient, and none are able to do this except those who possess a great fortune.  Surah Fussilat '","Goodness does not equal the evil done by those who disbelieve, even if the good deeds are equal. Repel evil with good, and your enemy will become like a close friend. Only those who patiently endure and do what God loves will achieve this noble trait, and they will have an abundant share of happiness in this life and the next.",41,[34 35]
846,"And if We had made it a non-Arabic Qur'an, they would have said, 'Why are its verses not clear? Is it a non-Arabic and an Arabic Qur'an?' Say, 'It is a guidance for those who believe. As for those who do not believe, there is a deafness in their ears and they are blind to it. These are being called from a distant place.' . Interpret this verse.","If We had made this Quran which We have revealed to you, O Messenger, in a foreign language, the disbelievers would have said, 'Why are not its verses explained in detail? How can we understand it?' Thus, this Quran is for those who believe in Allah and His Messenger as a guidance from misguidance and a cure for what is in the hearts. As for those who do not believe in the Quran, they have deafness in their ears and blindness in their hearts. They will not guide themselves by it. Those disbelievers are like those who are called from a distant place, and they neither hear the caller nor respond to him.",41,[44]
847,Recite a verse that indicates that a person knows their Lord in times of hardship while not knowing Him in times of ease?,"And when We bestow Our favor upon man, he turns away and draws himself to the side. But when evil touches him, he has extensive prayers that 'God should remove his affliction'.",41,[51]
848,We will show them Our signs in the horizons and within themselves until it becomes clear to them that it is the truth. Was it not enough that your Lord is a witness over all things?  - Interpret this verse.,"We will show those who deny our signs the evidence of our power in the conquests and the spread of Islam throughout the lands and religions, in the heavens and the earth, and in the great events that Allah causes to happen there, and within themselves and the wonders of Allah's creation that they contain, until it becomes clear to them beyond any doubt that the Quran is indeed the truth revealed by the Lord of the Worlds. Has not the testimony of Allah Himself, who has testified to its truth, been sufficient for them? For indeed, He is the ultimate witness, and there is no testimony greater than His.",41,[53]
849,"The heavens almost tear apart from above them, and the angels glorify their Lord's praise and seek forgiveness for those on earth. Is it not that Allah is indeed the Forgiver, the Merciful?  Surah Ash-Shura. Interpret this verse.","The heavens are about to split open, one above the other, in awe of the Majesty and Glory of the Most Merciful, Blessed and Exalted. The angels praise the glory of their Lord, sanctify Him from that which is not befitting, and seek forgiveness from their Lord for the sins of those on earth who believe in Him. Indeed, Allah is Forgiving to the believers among His servants, Merciful to them.",42,[5]
850,What is the meaning of 'يَذْرَؤُكُمْ فِيهِ' in verse 11 of Surah Ash-Shura?,"He creates you in the manner mentioned, increasing your numbers through procreation, both among humans and animals, in abundance.",42,[11]
851,"In the verse of the Holy Qur'an , five names of the noble messengers are mentioned. What are the names of these messengers?","Among the resolute are the messengers: Noah, Abraham, Moses, Jesus, and Muhammad, peace be upon them all.",42,[13]
852,"What struck you has come upon you by what your hands have earned. And Allah pardons much.  Al-Shura. To whom is this verse addressed, and how should it be interpreted?","The speech is for the believers. Whatever misfortune has befallen you in your religion and worldly life is due to the sins and wrongdoings you have earned. Your Lord forgives you for many of your sins, so He does not punish you for them.",42,[30]
853,And who is it that avenges after having been wronged? Those are the ones against whom there is no way . The way is only against those who wrong people and strive on earth causing corruption without right. Those will have a painful punishment. And who is it that remains patient and forgives? That indeed is a matter of determination.,"But for those who have been oppressed, then after that have been oppressed, there is no blame upon them. Blame is only upon those who oppress people and commit aggression in the land, transgressing what Allah has permitted, for they will have a painful punishment. But for those who patiently endure and forgive, and act with kindness, indeed, that is a great resolve and a righteous action that Allah loves. For them, He has prepared a great reward and honor.",42,[41 42 43]
854,What is the verse that condemns procrastination and commands hastening to every good deed presented to the servant?,"Answer your Lord before a day comes when there will be no escape from Allah, and you will find no refuge or reproach.",42,[47]
855,In what form is the word of Allah  for the children of Adam?,"And it is not given to any human being that Allah should speak to him except by inspiration or from behind a veil, or by sending a messenger [to reveal] by His permission what He wills. Indeed, He is Exalted in Might, Wise.",42,[51]
856,"What is the meaning of: 'And thus We have revealed to you, [O Muhammad], the Spirit of Our command'  Al-Shura?","God revealed the Quran to Muhammad, peace be upon him.",42,[52]
857,What is the meaning of 'Umm al-Kitāb' in verse 4 of Surah Az-Zukhruf?,The Preserved Tablet.,43,[4]
858,"Is it that I would remind you of the Qur'an, even though you are a transgressing people?","We will not keep the Quran from you, so you cannot command or forbid, because you were a people of polytheism, and we will not keep.",43,[5]
859,What is the invocation  for riding an animal ?,"Glory be to Him who has subjected this to us, and we were not capable of it. And indeed, to our Lord we are returning. [So] you shall stand upon his back, then remember the favor of your Lord when you stand upon it, and say, 'Glory be to Him who has subjected this to us, and we were not capable of it.' And indeed, to our Lord we are returning.",43,[13 14]
860,"And they made for him from among his servants a portion. Indeed, man is ever inclined to evil, clear is the verse from Al-Zukhruf . Please explain this verse.","The disbelievers made the angels, who are the servants of Allah, a part of Him, saying that they are the daughters of Allah, because a child is a part of its parent. Whoever says this has clearly shown disbelief.",43,[15]
861,"And when one of them is informed of the honor bestowed upon Allah by a metaphor, his face darkens, and he is filled with rage. Or, is one who is raised among luxuries and is in constant dispute, yet unclear in his speech, [to be considered equal]? .","When someone is told that the child they claim is from God is a girl, their face darkens with the bad news of having a daughter, and they are filled with grief and worry. How can they accept from God what they would not accept for themselves? God is far above what the disbelievers say. Do you attribute to God, in your arrogance, one who is raised in frivolity and is unclear in argument, merely because of their gender?",43,[17 18]
862,"Why is the argument of these polytheists invalid when they say, 'If the Most Merciful had willed, we would not have worshipped them' ?","These polytheists from Quraysh said, 'If the Most Merciful had willed, we would not have worshipped anything besides Him.' This argument is invalid, for Allah has established His argument against the people by sending messengers and revealing books. Their argument about destiny and decree is the most false after the warning of the messengers. They have no knowledge of what they say, but they only say it out of obstinacy and falsehood, for they have no knowledge or proof from Allah about it.",43,[20]
863,What is the meaning of:  and  in verse 22 of Surah Az-Zukhraf?,"Indeed, we found our fathers upon a nation, following a way, a school of thought, and a religion. And indeed, we are guided by their footsteps, following their path.",43,[22]
864,What is the word that Prophet Ibrahim  made enduring among his descendants?,It is the word of Tawhid .,43,[28]
865,"And they say, 'Why has this Qur'an not been sent down to a man from the two towns? Al-Zukhruf 31. What are the two towns? And who is the great man present in each of them?'",The two cities are Mecca and Taif. The great man is Walid bin Mughira in Mecca or Urwa bin Masud al-Thaqafi in Taif.,43,[31]
